,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
aliciakeys,johnlegend,ijessewilliams,ellenpompeo,randyjackson,krisjenner,popsugar,iamdiddy,khloekardashian,caradelevingne,kimkardashian
andersoncooper,,,,,,,,,,
angelcandices,caradelevingne,krisjenner,gisele,dianekrugerperso,jaime_king,itsashbenzo,emmaroberts,mileycyrus,jessicaalba,ellenpompeo
annejhathaway,,,,,,,,,,
aw,mindykaling,lenadunham,reesewitherspoon,popsugar,msleamichele,itsashbenzo,emmaroberts,busyphilipps,minkak,ellenpompeo
brooklynbeckham,itsashbenzo,khloekardashian,krisjenner,popsugar,randyjackson,kimkardashian,caradelevingne,emmaroberts,msleamichele,leomessi
busyphilipps,mindykaling,lenadunham,reesewitherspoon,minkak,jaime_king,emmaroberts,popsugar,jessicaalba,aw,rainnwilson
camerondiaz,reesewitherspoon,msleamichele,mindykaling,minkak,drewbarrymore,katebosworth,popsugar,jessicasimpson,jaime_king,jessicaalba
caradelevingne,angelcandices,popsugar,emmaroberts,itsashbenzo,mileycyrus,jaime_king,krisjenner,joejonas,reesewitherspoon,ellenpompeo
champagnepapi,iamdiddy,ijessewilliams,khloekardashian,randyjackson,caradelevingne,krisjenner,joejonas,kimkardashian,aliciakeys,brooklynbeckham
charlizeafrica,randyjackson,ellenpompeo,aw,jessicaalba,reesewitherspoon,juleshough,minkak,instagranph,aliciakeys,popsugar
chrissyteigen,johnlegend,khloekardashian,popsugar,kimkardashian,jessicaalba,krisjenner,minkak,emmaroberts,jaime_king,angelcandices
clarencehouse,,,,,,,,,,
cristiano,,,,,,,,,,
derekhough,juleshough,glassofwhiskey,msleamichele,popsugar,randyjackson,jessetyler,reesewitherspoon,jessicaalba,johnlegend,krisjenner
dianekrugerperso,katebosworth,jaime_king,reesewitherspoon,itsashbenzo,msleamichele,angelcandices,jessicaalba,emmaroberts,jessicasimpson,minkak
