"","username","bio","website","profile_picture","full_name","media_count","followed_by","follows"
"1","beyonce","","http://www.beyonce.com","https://igcdn-photos-g-a.akamaihd.net/hphotos-ak-xft1/t51.2885-19/11098624_1632794343609174_1724291661_a.jpg","Beyoncé",1068,39956644,0
"2","brooklynbeckham","","","https://igcdn-photos-b-a.akamaihd.net/hphotos-ak-xpa1/t51.2885-19/s150x150/11191216_997536980258561_1248633090_a.jpg","Brooklyn Beckham",86,3563310,142
"3","charlizeafrica","","","https://igcdn-photos-h-a.akamaihd.net/hphotos-ak-xfa1/t51.2885-19/10175122_246931378828975_568099733_a.jpg","Charlize Theron",64,357358,37
"4","prattprattpratt","I use my twitter for jokes mostly. But I use my Instagram for deeper more meaningful stuff like pictures mostly.","","https://igcdn-photos-e-a.akamaihd.net/hphotos-ak-xpa1/t51.2885-19/10570060_731177430282340_844528433_a.jpg","prattprattpratt",70,1793147,27
"5","popsugar","","http://www.popsugar.com","https://igcdn-photos-c-a.akamaihd.net/hphotos-ak-xaf1/t51.2885-19/11410668_1623481421242586_1446105071_a.jpg","POPSUGAR",4099,138978,689
"6","salmahayek","After hundreds of impostors, years of procrastination, and a self-imposed allergy to technology, FINALLY I'm here. ¡Hola! This is truly Salma.","http://twitter.com/salmahayek","https://igcdn-photos-d-a.akamaihd.net/hphotos-ak-xap1/t51.2885-19/11078688_903536949669427_1338825742_a.jpg","Salma Hayek Pinault",70,192965,108
"7","victoriabeckham","","http://www.victoriabeckham.com","https://instagramimages-a.akamaihd.net/profiles/profile_186901415_75sq_1392726123.jpg","Victoria Beckham",733,6055967,33
"8","leonardodicaprio","Actor and Environmentalist.","http://www.leonardodicaprio.com","https://igcdn-photos-h-a.akamaihd.net/hphotos-ak-xfa1/t51.2885-19/11376686_1438668249792031_1121814667_a.jpg","Leonardo DiCaprio",88,1004872,16
"9","aliciakeys","#TIDALforALL","http://tidal.com","https://igcdn-photos-h-a.akamaihd.net/hphotos-ak-xpf1/t51.2885-19/11055587_1693124364248127_1348497250_a.jpg","Alicia Keys",702,3560359,325
"10","jessicaalba","Mom of two, founder of TheHonestCompany, amatuer chef, terrible speller, loyal friend, hilarious at times, I play make believe for a living","http://honest.com","https://igcdn-photos-a-a.akamaihd.net/hphotos-ak-xaf1/t51.2885-19/s150x150/11417308_722575194537048_1218370680_a.jpg","Jessica Alba",2228,5556098,942
"11","jamiedornan","","","https://igcdn-photos-g-a.akamaihd.net/hphotos-ak-xfp1/t51.2885-19/10584735_738357499561270_808931240_a.jpg","Jamie Dornan",9,1118867,0
"12","annejhathaway","Inspiring since 1982 <ed><U+00A0><U+00BC><ed><U+00BC><U+00B8>","http://fan.page","https://igcdn-photos-h-a.akamaihd.net/hphotos-ak-xaf1/t51.2885-19/11330581_1496819783941783_996936603_a.jpg","Anne Hathaway",3,517,9
"13","instagranph","<U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800>'Just be cool lady, Damn!'
<U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800>•••","http://gifsarentmine.com","https://igcdn-photos-h-a.akamaihd.net/hphotos-ak-xaf1/t51.2885-19/11325838_1591323321139711_1875809798_a.jpg","<U+2800> <U+2800><U+2800>   <U+2800> <U+2800><U+2800> <U+2800><U+2800><U+2800>  <U+265B>HIMYM",119,10267,300
"14","aw","TV addict; semicolon enthusiast; dog owner!","http://www.horizonsnational.org","https://igcdn-photos-h-a.akamaihd.net/hphotos-ak-xpf1/t51.2885-19/914459_682377258501431_237977581_a.jpg","Allison Williams",134,509974,105
"15","emmawatson","","","https://igcdn-photos-h-a.akamaihd.net/hphotos-ak-xfp1/t51.2885-19/10499119_1500411710191903_104657546_a.jpg","Emma Watson",8,3154429,0
"16","the_native_tiger","Child of the Cherokee Tribe<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>forest nymph<ed><U+00A0><U+00BC><ed><U+00BC><U+00BF><ed><U+00A0><U+00BC><ed><U+00BC><U+00BA>Lunar Leo mother goddess<ed><U+00A0><U+00BC><ed><U+00BC><U+0099><ed><U+00A0><U+00BD><ed><U+00B4><U+00AE>to 2 bohemian revolutionaries-my kamikaze free spirit & my peaceful warrior<ed><U+00A0><U+00BD><ed><U+00B9><U+008F>","","https://igcdn-photos-f-a.akamaihd.net/hphotos-ak-xat1/t51.2885-19/923662_1497418940487469_1391077841_a.jpg","Megan Fox",21,1822616,0
"17","katebosworth","The official Instagram for actress Kate Bosworth Cinema / Art / Fashion <ed><U+00A0><U+00BC><ed><U+00BC><U+009F> Please sign up for updates on my next film ""90 Minutes in Heaven"" in URL <U+2B07><U+FE0F>","http://90minutesthemovie.com","https://igcdn-photos-h-a.akamaihd.net/hphotos-ak-xap1/t51.2885-19/10958240_343471775848423_784667736_a.jpg","Kate Bosworth",730,203119,131
