Sno,Username,Name,Contribs,Language,Location
#1,Ocramius ,Marco Pivetta,61259,PHP,Frankfurt
#2,michalbe ,Micha? Budzy?ski,14771,JavaScript,"Warsaw, Poland"
#3,kevinsawicki ,Kevin Sawicki,9159,JavaScript,"Redwood City, CA"
#4,brianchandotcom ,Brian Chan,8893,JavaScript,"Los Angeles, CA"
#5,fabpot ,Fabien Potencier,8751,PHP,"Paris, France"
#6,weierophinney ,Matthew Weier O'Phinney,8742,PHP,"Sioux Falls, SD, USA"
#7,GrahamCampbell ,Graham Campbell,8418,PHP,The United Kingdom
#8,mrmrs ,Adam Morse,7826,CSS,San Francisco
#9,rkh ,Konstantin Haase,6625,Ruby,Berlin
#10,md-5,,6123,Java,"Melbourne, Australia"
#11,ornicar ,Thibault Duplessis,5937,PHP,"Paris, France"
#12,hadley ,Hadley Wickham,5887,R,"Houston, TX"
#13,jdalton ,John-David Dalton,5622,JavaScript,http://twitter.com/jdalton
#14,springmeyer ,Dane Springmeyer,5591,C++,"Winthrop, WA"
#15,taylorotwell ,Taylor Otwell,5546,PHP,Arkansas
#16,jgm ,John MacFarlane,5341,Haskell,"Berkeley, CA"
#17,substack ,James Halliday,5341,JavaScript,"Oakland, California, USA"
#18,robrix ,Rob Rix,5339,Objective-C,"London, Ontario"
#19,michaelklishin ,Michael Klishin,5269,Ruby,
#20,cvrebert ,Chris Rebert,5245,JavaScript,"Bay Area, California, USA"
#21,mikermcneil ,Mike McNeil,5201,JavaScript,"Austin, TX"
#22,c9s ,Yo-An Lin,5102,PHP,
#23,markstory ,Mark Story,5014,PHP,"Toronto, Ontario"
#24,snoyberg ,Michael Snoyman,4797,Haskell,Israel
#25,tmcw ,Tom MacWright,4790,JavaScript,"Washington, DC"
#26,schacon ,Scott Chacon,4587,Ruby,"San Francisco, CA"
#27,mitchellh ,Mitchell Hashimoto,4575,Ruby,"San Francisco, CA"
#28,mafintosh ,Mathias Buus,4571,JavaScript,"Copenhagen, Denmark"
#29,SamyPesse ,Samy Pessé,4440,JavaScript,"Lyon, France / Palo Alto, CA"
#30,stefanpenner ,Stefan Penner,4317,JavaScript,"San Jose, CA"
#31,remy ,Remy Sharp,4295,JavaScript,"Brighton, UK"
#32,rstacruz ,Rico Sta. Cruz,4289,JavaScript,"Manila, Philippines"
#33,dcramer ,David Cramer,4287,Python,"San Francisco, CA"
#34,addyosmani ,Addy Osmani,4264,JavaScript,"London, England"
#35,bevacqua ,Nicolas Bevacqua,4110,JavaScript,"Buenos Aires, Argentina"
#36,kytrinyx ,Katrina Owen,4090,Ruby,Santa Monica
#37,parkr ,Parker Moore,4071,Ruby,"San Francisco, CA"
#38,josh ,Joshua Peek,4026,Ruby,"San Francisco, CA"
#39,jamesward ,James Ward,3999,Java,"Crested Butte, CO, USA"
#40,3rd-Eden ,Arnout Kazemier,3912,JavaScript,"Drachten, the Netherlands"
#41,pippinsplugins ,Pippin Williamson,3781,PHP,"Hutchinson, KS"
#42,feross ,Feross Aboukhadijeh,3772,JavaScript,"Mountain View, CA"
#43,rafaelfranca ,Rafael Mendonça França,3744,Ruby,"São Paulo, Brazil"
#44,Raynos ,Raynos ,3680,JavaScript,San Francisco
#45,jwiegley ,John Wiegley,3628,Haskell,"Peoria, Illinois, USA"
#46,jonathanong ,jongleberry,3606,JavaScript,"Los Angeles, CA"
#47,josevalim ,José Valim,3591,Ruby,"Kraków, Poland"
#48,thomasdavis ,Thomas Davis,3462,JavaScript,"Brisbane, Australia"
#49,ingydotnet ,Ingy döt Net,3416,Perl,Seattle
#50,dominictarr ,Dominic Tarr,3385,JavaScript,New Zealand
#51,zcbenz ,Cheng Zhao,3278,JavaScript,Beijing
#52,evancz ,Evan Czaplicki,3249,Elm,
#53,benbalter ,Ben Balter,3193,Ruby,"Washington, DC"
#54,bastianallgeier ,Bastian Allgeier,3173,PHP,"Mannheim, Germany"
#55,HugoGiraudel ,Hugo Giraudel,3166,CSS,Grenoble (France)
#56,ebidel ,Eric Bidelman,3142,JavaScript,"San Francisco, CA"
#57,TooTallNate ,Nathan Rajlich,3138,JavaScript,"San Francisco, CA"
#58,r7kamura ,Ryo Nakamura,3118,Ruby,"Tokyo, Japan"
#59,yihui ,Yihui Xie,3086,R,"Ames, IA"
#60,kripken ,Alon Zakai,3067,JavaScript,
#61,ekmett ,Edward Kmett,3066,Haskell,"Cambridge, MA"
#62,mcollina ,Matteo Collina,3030,JavaScript,In the clouds above Italy
#63,FooBarWidget ,Hongli Lai,2995,Ruby,Earth
#64,sahat ,Sahat Yalkabov,2971,JavaScript,"Sunnyvale, CA"
#65,indutny ,Fedor Indutny,2958,JavaScript,Russia
#66,steveklabnik ,Steve Klabnik,2945,Ruby,Brooklyn
#67,kohsuke ,Kohsuke Kawaguchi,2940,Java,"San Jose, California"
#68,weaverryan ,Ryan Weaver,2938,PHP,"Nashville, TN"
#69,orta ,Orta,2911,Ruby,Manchester / NYC
#70,creationix ,Tim Caswell,2894,JavaScript,"Red Lick, TX, USA"
#71,maxogden ,Max Ogden,2888,JavaScript,"Portland, OR"
#72,STRd6 ,Daniel X Moore,2878,CoffeeScript,"Fillmore, CA"
#73,yiminghe ,yiminghe,2872,JavaScript,China
#74,jspahrsummers ,Justin Spahr-Summers,2867,Shell,"San Francisco, CA"
#75,swannodette ,David Nolen,2854,Clojure,New York
#76,PaulKinlan ,Paul Kinlan,2816,JavaScript,"Liverpool, London, Mountain View (CA)"
#77,zenorocha ,Zeno Rocha,2801,JavaScript,"Los Angeles, CA"
#78,mgechev ,Minko Gechev,2776,JavaScript,"Sofia, Bulgaria"
#79,mattn ,mattn,2745,Go,"Osaka, Japan"
#80,RubyLouvre ,????,2729,JavaScript,China
#81,fsouza ,Francisco Souza,2713,Python,"Rio de Janeiro, Brazil"
#82,karan ,Karan Goel,2648,Python,Seattle
#83,arunoda ,Arunoda Susiripala,2645,JavaScript,"Colombo, Sri Lanka"
#84,paulcbetts ,Paul Betts,2590,C#,San Francisco
#85,bbatsov ,Bozhidar Batsov,2570,Emacs Lisp,"Sofia, Bulgaria"
#86,mathiasbynens ,Mathias Bynens,2564,JavaScript,Belgium
#87,KrauseFx ,Felix Krause,2562,Ruby,United Kingdom
#88,mikolalysenko ,Mikola Lysenko,2542,JavaScript,"Madison, WI"
#89,chrisdone ,Chris Done,2535,Haskell,Italy
#90,josegonzalez ,Jose Diaz-Gonzalez,2527,PHP,"New York, NY"
#91,JakeWharton ,Jake Wharton,2516,Java,"San Francisco, CA"
#92,happypeter ,Peter Wang,2508,CSS,Qinhuangdao China
#93,leafo ,leaf,2503,MoonScript,San Francisco
#94,alex ,Alex Gaynor,2492,Python,Washington D.C.
#95,rdegges ,Randall Degges,2491,Python,Bay Area
#96,sferik ,Erik Michaels-Ober,2481,Ruby,
#97,chjj ,Christopher Jeffrey ,2481,JavaScript,San Francisco
#98,kana ,Kana Natsuno,2458,VimL,"Tokyo, Japan"
#99,ai ,Andrey Sitnik,2455,Ruby,"Saint Petersburg, Russia"
#100,stof ,Christophe Coevoet,2413,PHP,Paris
#101,Unknwon ,??,2413,Go,"Boston, MA"
#102,tokuhirom ,Tokuhiro Matsuno,2361,Perl,"Tokyo, Japan"
#103,samdark ,Alexander Makarov,2322,PHP,Russia
#104,kraih ,Sebastian Riedel,2320,Perl,Germany
