longitude,latitude,comments_count
-117.4223237,33.22396355,4982
-118.370423,34.09665523,4976
-117.1594151,32.70849367,4800
-119.9791526,39.08244422,3318
-118.3749342,34.09984807,2938
15.33973833,37.95571167,2630
-118.4725023,33.99786532,2367
-117.083,32.64,2305
-118.3748651,34.0998015,1943
14.48329166,40.74812083,1882
-87.6553755,41.8835973,1858
2.154454594,41.38612832,1746
-118.3400542,34.14720978,1651
13.3989,52.5006,1620
15.29307833,37.05959717,1598
18.26864059,59.36686159,1555
-109.7689749,22.97668908,1497
-73.94313713,40.68007441,1485
-0.250864582,51.31441901,1446
-0.075584744,51.50514919,1370
115.3253783,-30.976825,1321
-122.6823536,45.52237024,1309
-71.85520833,41.307955,1250
-118.4785214,34.00568333,1226
-117.1603201,32.7138026,1216
-117.1610021,32.71368559,1213
-0.210248306,51.42711976,1183
-122.8323098,45.51376138,1176
-0.212397361,51.50293878,1170
-77.03666862,38.89773514,1154
-86.7553947,36.19196376,1132
-118.3398929,34.14771439,1119
-121.5939375,38.69635326,1101
-117.734613,33.48430934,1047
-115.1771624,36.11593645,1009
-97.1333,49.9,1002
-74.00224167,40.73360833,989
-73.98400822,40.75670058,914
-86.75530384,36.1918157,892
-73.984755,40.758575,883
-87.65537081,41.88361984,866
-117.1595624,32.71810008,828
-118.3358264,34.1475009,826
-115.1749886,36.11846886,781
-71.07910685,42.35157131,751
-118.3644406,34.19905732,727
-118.361695,34.097775,698
-79.75575479,43.60145359,679
-74.0093231,40.7383003,672
-118.3622457,34.09804293,667
-86.75544986,36.19196029,666
-115.1352278,36.08117783,610
-118.3467026,34.08925169,598
-118.4733059,33.99855967,585
-106.8204167,39.18851167,548
-118.3406464,34.14670391,546
-118.5730655,34.15900431,542
-118.4860283,34.0558445,518
-86.75541658,36.19205907,479
-86.79654993,36.23420625,476
28.97265071,41.03049427,476
-86.75537953,36.19201799,440
-118.4071742,33.9408094,438
-72.0435555,41.33363333,386
-119.7366417,34.43050833,384
-86.67883457,36.12236383,379
-0.212316306,51.50330704,355
-73.98192529,40.76828481,345
28.9833,41.0333,320
-71.06355286,42.35002136,311
-73.98697159,40.75830079,301
-79.05581865,43.08685648,293
-77.036545,38.897096,293
-73.97694397,40.75926209,290
-118.3464133,34.1158555,273
-118.6121333,34.06792106,270
-75.12996473,39.94134982,261
-73.74963662,42.65549907,251
15.2833567,37.8501587,249
-118.3846944,34.08927422,244
-78.64360591,35.77375114,243
-118.4412149,34.0902083,234
-73.87228179,40.74042833,230
-119.7364583,34.43041667,228
-118.381968,34.02346772,221
-119.7365333,34.43043667,211
-118.4265422,34.05432937,192
-79.07061667,43.08352783,192
-73.9953189,40.72981544,192
-118.4840083,34.02304167,185
-118.4412999,34.09019411,184
-118.443755,34.07246383,180
-118.4268995,34.05428591,178
-73.98361184,40.74971552,177
-72.10523883,41.499925,167
18.48892,-33.93733833,165
25.3333,37.45,163
28.9545784,41.00972594,160
-77.27460043,38.94754596,158
28.9732304,41.0302505,158
-75.12925671,39.94092501,155
-0.138298225,51.50469726,147
-73.74978438,42.65562091,142
-75.12996667,39.94128333,138
-118.4269058,34.05423412,133
-118.4839783,34.02300283,122
-118.3928365,34.08988995,120
-118.4412391,34.09021086,118
-79.05832783,43.0886805,118
15.28357167,37.84996667,115
-118.4269576,34.05402403,114
-118.6142283,34.06966383,111
-73.97611286,40.76371573,110
28.98366084,41.03886948,109
-118.3497342,34.10445305,104
-73.984581,40.7560616,103
30.16386719,-31.08946508,98
-75.12978333,39.94127833,96
-73.99388083,40.72758451,95
-114.6377778,49.63277778,94
-118.54708,34.14034167,90
-74.01045959,40.71003056,89
120.2935526,31.58237998,89
-118.4268132,34.05430867,87
-118.8508917,34.25758667,86
-74.97720673,39.94217372,86
-118.3607117,34.10379167,85
-118.6119283,34.06806667,84
-118.4268378,34.05428274,83
-122.4022493,37.78958355,78
-75.12974395,39.94143079,68
-0.212319144,51.50333953,68
-122.4097064,37.79027971,63
-74.0030393,40.71931064,63
-0.137716345,51.50465878,59
-118.3801848,34.07364227,57
-78.64415081,35.77426746,53
-74.01222229,40.70942688,53
-73.98411503,40.73033616,52
-118.6118904,34.06790463,51
-118.464325,34.13358333,50
34.7273712,38.6323395,49
-122.4098037,37.79023047,47
-74.01066475,40.70739613,46
-73.98524475,40.75462341,46
-74.01114593,40.70979234,45
-73.9841152,40.7303335,45
9.21022866,44.30300005,45
0.08062591,51.62426381,44
