study,country,year,prev,prev.lb,prev.ub
Amari,Saudi Arabia,2015,0.24,0.21,0.27
Kaisi,Jordan,2018,0.12,0.09,0.15
Pinlaor,Thailand,2017,0.08,0.05,0.11
Nissapatom,Malaysia,2014,0.28,0.22,0.34
Huo,China,2017,0.08,0.06,0.1
Casetti,USA,2009,0.22,0.2,0.24
Ormazdi,Iran,2010,0.29,0.18,0.4
Ford,USA,2012,0.22,0.18,0.26
Song,China,2014,0.05,0.03,0.07
Chiang,Taiwan,2014,0.09,0.07,0.11
Nagarathna,India,2018,0.23,0.14,0.32
Sarkari,Iran,2016,0.19,0.17,0.21
Svobodova,Czech Republic,2010,0.15,0.11,0.19
Dunn,Canada,2012,0.19,0.15,0.23
Yazar,Turkey,2013,0.23,0.19,0.27
Griffin,Kenya,2009,0.34,0.29,0.39
Elsheikha,Egypt,2011,0.2,0.14,0.26
Munsoor,Sudan,2014,0.34,0.25,0.45
Coelho,Brazil,2009,0.15,0.03,0.27
Artigas,Cuba,2014,0.28,0.23,0.33
